"foraging robots"	"building robots"	"average estimate"	"average deviation"	"construction events"	"blocks in cache"	"average degree"
7	43	0.248862	0.162319	0	0.0448	1.85714
6	44	0.250359	0.165014	0	0.0464	2
6	44	0.251308	0.16448	0	0.0464	2
6	44	0.251545	0.165127	0	0.0464	2
6	44	0.251636	0.164793	0	0.0464	2
6	44	0.251749	0.165023	0	0.0464	2
6	44	0.251895	0.165013	0	0.0464	2
5	45	0.268045	0.180787	0	0.048	1.92593
6	44	0.270624	0.183294	0	0.048	1.77778
6	44	0.259373	0.173555	0	0.048	1.85714
6	44	0.251804	0.168761	0	0.048	2.03448
6	44	0.251803	0.168849	0	0.048	2.13793
6	44	0.243749	0.160887	1	0.0464	2.1
6	44	0.251959	0.168331	1	0.0464	2.13793
7	43	0.250179	0.165137	1	0.0464	2.06897
7	43	0.252343	0.16619	1	0.0464	2.06897
7	43	0.246955	0.161557	1	0.0464	2.13333
7	43	0.251455	0.166579	0	0.0464	2.26667
7	43	0.253043	0.166925	0	0.0464	2.26667
7	43	0.259873	0.17352	0	0.0464	2.37931
8	42	0.256299	0.168914	0	0.0464	2.2069
8	42	0.266503	0.178264	0	0.0464	2.2069
7	43	0.271981	0.182928	0	0.048	2.13793
7	43	0.269208	0.179588	0	0.048	2.13793
7	43	0.270561	0.181114	1	0.0464	2.06897
7	43	0.269858	0.180311	1	0.0464	2.06897
7	43	0.261217	0.172798	1	0.0464	2.1
7	43	0.261038	0.173371	1	0.0464	2.13333
7	43	0.261127	0.173106	1	0.0464	2.13333
7	43	0.268598	0.181918	0	0.0464	2.19355
7	43	0.26243	0.177455	0	0.0464	2.25806
7	43	0.285336	0.196516	0	0.0464	2.19355
6	44	0.289512	0.200871	0	0.048	2.26667
7	43	0.28463	0.197727	1	0.0464	2.12903
7	43	0.281602	0.194386	1	0.0464	2.12903
7	43	0.272678	0.186543	1	0.0464	2.1875
7	43	0.276559	0.191478	1	0.0464	2.32258
8	42	0.277619	0.192148	1	0.0464	2.25806
8	42	0.277429	0.191939	0	0.0464	2.25806
8	42	0.276574	0.190542	0	0.0464	2.25806
7	43	0.26776	0.182662	0	0.048	2.21875
7	43	0.256807	0.172185	0	0.048	2.25
7	43	0.256834	0.170757	0	0.048	2.25
7	43	0.256855	0.170504	0	0.048	2.25
7	43	0.272998	0.172864	0	0.048	2.125
8	42	0.272893	0.17275	0	0.048	1.9375
8	42	0.272971	0.172507	1	0.0464	1.9375
8	42	0.271791	0.169914	1	0.0464	1.9375
8	42	0.275096	0.174114	1	0.0464	1.93939
8	42	0.266736	0.166955	1	0.0464	2.06061
8	42	0.284063	0.18079	1	0.0464	2.06061
8	42	0.297195	0.193775	0	0.0464	2.06061
7	43	0.291262	0.186739	1	0.0464	2
7	43	0.289702	0.184631	1	0.0464	2
7	43	0.289066	0.184022	1	0.0464	2
7	43	0.289004	0.183583	1	0.0464	2
7	43	0.298306	0.192422	1	0.0464	1.96875
8	42	0.298461	0.192477	0	0.0464	1.9375
8	42	0.298528	0.192358	0	0.0464	1.9375
8	42	0.327002	0.219519	0	0.0464	2
10	40	0.308938	0.201391	0	0.0464	1.93333
10	40	0.285437	0.180005	0	0.0464	2
10	40	0.285107	0.179501	0	0.0464	2.06452
10	40	0.276229	0.171715	1	0.0448	2.03125
10	40	0.27527	0.171531	2	0.0432	2.125
10	40	0.274557	0.170373	2	0.0432	2.1875
10	40	0.273575	0.169555	2	0.0432	2.125
10	40	0.273577	0.169213	2	0.0432	2.125
10	40	0.281623	0.176332	1	0.0432	2.06452
11	39	0.280506	0.174644	0	0.0432	1.87097
11	39	0.280068	0.173739	0	0.0432	1.87097
11	39	0.280178	0.173835	0	0.0432	1.87097
11	39	0.280113	0.173734	0	0.0432	1.80645
11	39	0.280154	0.173841	0	0.0432	1.80645
11	39	0.280131	0.173652	0	0.0432	1.74194
11	39	0.27901	0.172021	0	0.0432	1.74194
11	39	0.277866	0.170371	1	0.0416	1.80645
11	39	0.276485	0.168531	1	0.0416	1.80645
11	39	0.275274	0.167044	1	0.0416	1.80645
11	39	0.299247	0.190762	1	0.0416	1.80645
11	39	0.30791	0.199134	1	0.0416	1.80645
11	39	0.299758	0.191022	0	0.0416	1.67742
11	39	0.302744	0.194006	0	0.0416	1.6129
11	39	0.297472	0.188607	0	0.0416	1.6129
10	40	0.300483	0.184355	0	0.0432	1.625
10	40	0.292801	0.176177	0	0.0432	1.6875
10	40	0.298168	0.181628	0	0.0432	1.6875
10	40	0.299502	0.182852	0	0.0432	1.6875
10	40	0.309163	0.196324	0	0.0432	1.6875
10	40	0.307231	0.197695	0	0.0432	1.75
10	40	0.302624	0.197133	0	0.0432	1.75
10	40	0.304587	0.200354	0	0.0432	1.75
10	40	0.305426	0.200606	1	0.0416	1.75
10	40	0.304149	0.199236	1	0.0416	1.75
10	40	0.300865	0.198678	1	0.0416	1.75
